instances,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_Usefulness,algo_bagging,algo_gradient_boosting,algo_random_forest,algo_svc_linear
46,1.0,0.0,0.9925373134328358,0.7511298406201611,0.0,0.405700443612967,0.9888059701492538,0.21882090366545368,0.027651995198618343,0.0910700822930319,0.058699283213865264
47,1.0,0.0,0.996,0.8690361327422941,0.0,0.4808295735391649,0.998,2.0886610027858272,1.399327119478608,1.349544234326444,0.7052819167530766
48,1.0,0.0,0.92,0.8132301587625648,0.0,0.35472997026688136,0.942,0.05316454973717523,0.07739444828357901,0.04104275716091374,0.10878760564685072
49,1.0,0.008,0.996268656716418,0.8761252686038838,1.0,0.5504743437994124,1.0,1.0489311458236605,0.5675013502855185,0.6989016751020491,0.5419194626640544
50,1.0,0.0,0.996,0.9139187062551342,0.0,0.35106199317582587,0.99,0.23627801479722615,0.4158686278278129,0.10593177720936293,0.15533201541678732
51,1.0,0.0,0.94,0.8345956019223402,0.0,0.3865695310195586,0.952,0.08277135062644268,0.03235797339754438,0.03661584575584242,0.053014716268548465
52,1.0,0.0,0.968,0.8589811580211171,0.0,0.3552215448802334,0.938,0.057920341846505956,0.20936945912917446,0.08025117193491328,0.2049456003175131
53,1.0,0.0,0.982,0.8595147251655046,0.0,0.4224446193117074,0.976,0.0854234993380071,0.08856672365760226,0.06608571033607577,0.09575716330314751
54,1.0,0.0,0.9738805970149254,0.7757055703172725,0.0,0.38625127283383476,0.9776119402985075,0.12430655020016039,0.07594672835349245,0.06416955417005413,0.04421086520424301
55,1.0,0.018656716417910446,0.998,0.8700352480935315,1.0,0.5780757934790572,1.0,2.472112993466301,2.695094649382245,2.683827079840094,2.2604276538256185
56,1.0,0.0,0.83,0.8022041123364835,0.0,0.24672442443431686,0.954,0.06308830151205108,0.06608976610159174,0.04731335948791356,0.07577850870125223
57,1.0,0.0,0.9925373134328358,0.795727201829766,0.5,0.4754629444990299,0.9925373134328358,0.10500478568903031,0.1279226624545539,0.11596696840929817,0.12522201246863332
58,1.0,0.0,0.994,0.8038505930578701,0.0,0.4760308051818736,0.998,0.4965613692515729,0.1338065531322944,0.5085547485182567,0.5477206939060452
59,1.0,0.0037313432835820895,0.998,0.7652869637445271,1.0,0.5424447511253555,1.0,1.4204257038520236,1.7393416184019048,1.683646222701474,1.9420530757646621
60,1.0,0.0,0.984,0.8579958161291464,0.0,0.37815633360422274,0.988,0.22747270106261464,0.451276378102229,0.10217181854880254,0.28842283859464574
61,1.0,0.0,0.98,0.8066773132526701,0.0,0.15975323230776717,0.994,0.0854234993380071,0.039521010611083804,0.04247290660450363,0.007182556248599591
62,1.0,0.002,0.9888059701492538,0.9088022220863091,0.0,0.45254044776795666,0.9850746268656716,0.3399546066639925,0.7305102887066736,0.7501415848857851,0.4419234155131807
63,1.0,0.0,0.994,0.8053064257085005,0.0,0.4351369266016786,1.0,0.09097393293367818,0.08042172208131217,0.05433186772976082,0.032063368237906294
64,1.0,0.0037313432835820895,0.998,0.8893994005443079,1.0,0.5880017776357307,0.992,0.27601298429229026,0.5766702711890205,0.18219794937902584,0.5189297169992799
65,1.0,0.004,0.9850746268656716,0.9116809284042469,0.25,0.44410468209980913,0.9888059701492538,0.7351757348302786,0.8586729085531365,1.080466143059578,0.7588257274965768
66,1.0,0.0,0.986,0.858511333175221,0.25,0.3985866759440836,0.98,0.1637297501463227,0.2517850427793549,0.17986870845476782,0.17840967085276863
67,1.0,0.0,0.996268656716418,0.8104642275315965,1.0,0.530200672610974,1.0,0.6937128167499936,1.2167756603941258,1.0802602266599277,1.2958773160074184
68,1.0,0.0,0.996,0.8071679970228297,0.0,0.4938141184849989,1.0,1.463367144550096,0.9604729762057426,0.8793312060672369,1.1584011606904596
69,1.0,0.0,0.92,0.8506259072529874,0.0,0.34365140647659675,0.91,0.04878978848761944,0.07049726039125703,0.04252958557527299,0.08230961643552552
70,1.0,0.0,0.996,0.831858289547561,0.0,0.4630840903168605,0.996,0.5630595088005743,0.689725123600996,0.3506332411537258,0.5678478032063717
71,1.0,0.028,0.996268656716418,0.9260934651731723,1.0,0.6960156402357316,1.0,2.2288696443519718,1.689572975570738,2.6296997733564766,1.1010433048961408
72,1.0,0.0037313432835820895,0.998,0.9010829713308515,1.0,0.6151233789433803,1.0,0.8614076178656679,1.1366543606683686,1.4252283007685904,0.6997055678639839
73,1.0,0.0,0.9850746268656716,0.8006879414159425,0.0,0.4698540227828498,1.0,0.43458999296898443,0.7583246600288697,0.45737535619713177,0.09862353182632776
74,1.0,0.0,0.978,0.7901035942041555,0.0,0.43388998579754,0.996,0.25567282699384947,0.16167467513210868,0.2585309342377943,0.5282528558644195
75,1.0,0.0,0.95,0.8532282085088314,0.0,0.32148275211432653,0.946,0.044767004887317594,0.06994436926490143,0.0606078781808985,0.1266165053810793
76,1.0,0.0,0.874,0.7398142491189708,0.0,0.27840037654133243,0.994,0.113896896239995,0.021252986968040524,0.045663078237836364,0.011030551337427119
77,1.0,0.0,0.994,0.8657761189797826,0.0,0.3310052539471168,0.994,0.08140971190017005,0.24557562852073647,0.22930895883858363,0.2546870156930849
78,1.0,0.0037313432835820895,0.994,0.8708989890892949,0.25,0.4429866992847563,0.98,0.14493975691004057,0.15027064476599264,0.13592595392502876,0.339961663957806
79,1.0,0.0,0.9776119402985075,0.8526508809775942,0.3333333333333333,0.2323659209576111,0.9888059701492538,0.14624198940184785,0.1432135811845486,0.12849817562165364,0.19000669466423123
80,1.0,0.0,0.96,0.8680612204463735,0.0,0.3410536370659494,0.906,0.04878978848761944,0.10866551522555559,0.07225543234117363,0.21938604131675782
81,1.0,0.0,0.968,0.8441983697880187,0.0,0.38788608783145784,0.98,0.07065426778523583,0.04892105812568675,0.033159542823937106,0.10868036741930635
82,1.0,0.0,0.978,0.7927954203538062,0.0,0.12015675715273288,0.994,0.057920341846505956,0.03821945273159088,0.03960688498691516,0.028119093379813366
83,1.0,0.0037313432835820895,0.996,0.8251770543166042,0.5,0.43122200581167436,0.994,0.13442050771282882,0.15038955021797945,0.15413765255404746,0.3307846919482195
84,1.0,0.0,0.9339999999999999,0.8518150277488641,0.0,0.28346909459840863,0.9299999999999999,0.044767004887317594,0.05903077684653676,0.045663078237836364,0.11235542816098663
85,1.0,0.0,0.9925373134328358,0.8189338641684649,0.0,0.44433620077674896,1.0,0.5920424714704609,0.16055700953218194,0.3566058345889174,0.2206971913921528
86,1.0,0.0037313432835820895,0.988,0.8467682497359658,0.4,0.40826604378394327,0.988,0.37302020547962483,0.2831503517050868,0.260860880236375,0.3578424927875131
87,1.0,0.0,0.994,0.8205354143521562,0.0,0.47723814542723364,0.998,0.34641991417926654,0.3167873631861531,0.31528460803813263,1.2175451948949911
88,1.0,0.0,0.97,0.8401923459701746,0.0,0.31694235937682247,0.958,0.13631441772970493,0.20883171811729234,0.09738245078592375,0.2887724177263786
89,0.875,0.0,0.996268656716418,0.832192074738152,0.5,0.5111919992194263,0.9925373134328358,1.2914007642010363,0.6332775139204901,0.7361041625396341,0.1293479127818916
90,1.0,0.0,0.924,0.859758560814138,0.0,0.3335783568920091,0.898,0.057920341846505956,0.06366052155588313,0.05451617422311729,0.1688178427599567
91,1.0,0.0,0.918,0.8280505931687685,0.0,0.28624515218704105,0.962,0.04878978848761944,0.06258815401858243,0.03960688498691516,0.06500872988447938
92,1.0,0.0,0.996,0.8208676948507694,0.25,0.4631375784217039,0.99,1.6982860466572263,1.2430101234267483,1.4537294751108618,0.4891591947724549
93,1.0,0.0,0.986,0.8026677403751514,0.0,0.4264835853770196,0.996,0.27089272787354757,0.33275492709340976,0.20640967671875865,0.6809108204256203
94,1.0,0.012,0.996268656716418,0.9169436001999363,1.0,0.6273535874015892,1.0,2.6301526951302483,1.7276510844927715,1.8533028208494176,0.8352143160079968
95,1.0,0.0,0.99,0.8227750393465152,0.0,0.4772794248655484,0.994,0.09097393293367818,0.06863650748383263,0.08028199106524911,0.44474484108533396
96,1.0,0.014925373134328358,0.982,0.7872114163310754,0.3333333333333333,0.4399044579514587,0.998,1.4204257038520236,1.126447426497382,1.2132635965864251,0.9537892169852633
97,1.0,0.0,0.982,0.885929567816706,0.0,0.41882327434634525,0.926,0.04878978848761944,0.07308068705252219,0.05850729393387939,0.20099370849004092
98,1.0,0.0,0.914,0.8205942599076187,0.0,0.3285494192293502,0.956,0.06422531415561837,0.01960045221094717,0.033159542823937106,0.01960899967223033
99,1.0,0.0,0.99,0.8458026624484729,0.0,0.4203808747895842,0.998,0.1459345545727458,0.36898932965189307,0.09549726114563181,0.3507736808442179
100,1.0,0.0,0.9925373134328358,0.853887454807718,0.0,0.4447324400101851,0.996268656716418,0.5702253564318257,1.711536479233446,0.8766425497922501,0.681466952047598
101,1.0,0.002,0.9776119402985075,0.720858964870284,0.5,0.45236287617174564,1.0,0.09390402667337523,0.06869576298601006,0.14516610150190984,0.0986271018529236
102,1.0,0.0,0.994,0.889661122638365,0.0,0.47169363423048827,0.984,0.23627801479722615,0.22031352739741686,0.17045468364186597,0.5583261252416333
103,1.0,0.0,0.992,0.8728180840406004,0.0,0.2566062733828869,0.994,0.113896896239995,0.25024612314225747,0.1257582673545576,0.12778330680827912
104,1.0,0.0,0.862,0.8353537437380655,0.0,0.31867880932137216,0.9,0.044767004887317594,0.07335395202847048,0.04104275716091374,0.0848800262240068
105,1.0,0.0,0.988,0.8018565609148484,0.0,0.4426735504829975,0.996,0.17175355442901796,0.19271236146275383,0.260860880236375,0.582137233471768
