instances,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_Usefulness,algo_bagging,algo_gradient_boosting,algo_random_forest,algo_svc_linear
20,1.0,0.016,0.996268656716418,0.8872678392566007,0.5,0.5373686841676891,0.9925373134328358,0.1528415029226736,0.4354320149017923,0.572899133729895,0.9561874440504937
21,1.0,0.007462686567164179,0.998,0.8575716948368106,0.6666666666666666,0.5257177750579877,0.998,0.32144476299683195,0.3479171154109205,0.952130917250415,0.9370365491545533
22,1.0,0.0,0.982,0.846296968052279,0.0,0.36607280095505323,0.992,0.3409642201606422,0.1253902123265328,0.23327034275501335,0.6212917132319863
23,1.0,0.002,0.9850746268656716,0.7945461436972615,0.5,0.2615864003629701,0.9925373134328358,0.13063329282159475,0.2082054792844495,0.11224885540789924,0.0412847167146763
24,1.0,0.0,0.9888059701492538,0.8067792864162782,0.0,0.4830613901520354,0.996268656716418,1.3569473327512704,0.5914311636574561,1.1578762892171433,0.902506448618201
25,1.0,0.002,0.9888059701492538,0.8434845742550199,0.0,0.45969350052934244,0.9888059701492538,0.3023454205275486,0.29493602825532417,0.22072127026460614,0.15642704039570604
26,1.0,0.006,0.996268656716418,0.9232548010409488,0.6666666666666666,0.5723391556867197,0.996268656716418,0.8799992398332778,1.3839351181730744,1.540727922220365,0.5092127980171183
27,1.0,0.002,0.9850746268656716,0.8797654230319522,0.0,0.46876934771219425,0.9850746268656716,0.22914537219204717,0.3029999466626869,0.11787205322540661,0.18628870385141955
28,1.0,0.0,0.9359999999999999,0.8459192882791673,0.0,0.35923762883644217,0.914,0.05640055179129305,0.039287598255762925,0.03364204105015731,0.08588048976293217
29,1.0,0.0,0.996,0.7962975743063303,0.0,0.42832586384711,0.998,0.5876426284061432,0.9793252852521239,0.806830374534708,1.1434316286398118
30,1.0,0.0037313432835820895,0.996,0.919820507207065,0.0,0.4435439447467685,0.996,1.513345465847294,0.8893971401724933,0.6172018840947003,0.5368587165952259
31,1.0,0.0037313432835820895,0.998,0.8968506353079189,0.5,0.6502718211495093,0.998,0.7270821389717852,0.7751795751287239,1.2329643564183743,0.764769087119126
